cod_distrito,brancos,pretos,amarelos,pardos,indigenas,domicilios,renda_domicilios
355030801,71095,2154,2087,9565,62,28652,114911602
355030802,38262,860,1361,2615,19,15408,170039733
355030803,32321,4282,333,28783,70,19437,34768395
355030804,62365,4914,2532,19762,49,27661,71198307
355030805,64722,10406,1452,28622,67,33712,77883540
355030806,11640,438,417,1811,17,5623,38600687
355030807,51075,3377,3253,11659,96,29967,174476915
355030808,32541,1777,1192,9354,189,14323,58776407
355030809,17969,1552,5141,9092,138,10620,31080912
355030810,18515,1716,833,8074,123,10110,28199443
355030811,128791,27528,1808,106513,261,76997,132977648
355030812,41821,2260,3612,6452,51,18542,113097824
355030813,79689,13583,1539,48486,196,42683,98776365
355030814,27259,1394,1838,6373,84,12645,63102097
355030815,54986,1442,2698,6588,38,24049,211173420
355030816,74936,4057,3207,18406,81,33619,177980864
355030817,107017,15694,2825,85523,282,63867,152580943
355030818,82503,10014,1685,42125,212,41250,94214715
355030819,121644,23235,1951,121608,288,81033,145438640
355030820,62815,3478,5973,10937,78,27115,102810318
355030821,56814,7567,3702,17315,220,27035,96349356
355030822,129983,23700,3232,109548,218,80858,172811138
355030823,104372,14537,2455,74874,117,57691,134816852
355030824,75690,9357,1636,39779,135,37561,87299464
355030825,91810,26611,881,91962,217,60740,86066145
355030826,49499,1365,1745,4719,37,26339,215487453
355030827,73557,6041,8600,20834,56,35554,162043878
355030828,63427,8152,1230,40671,131,34029,72088511
355030829,98112,9403,1480,33219,113,45123,138716555
355030830,152750,31253,2542,173575,341,103074,162520447
355030831,49907,9995,478,43557,59,30547,53545384
355030832,75550,797,2915,4057,49,34821,411830412
355030833,61822,8559,785,56373,123,36151,54425893
355030834,79577,4354,3687,19114,91,36572,162482685
355030835,82221,1350,2633,6291,37,39230,378508696
355030836,99761,19493,1333,103245,236,64319,97427549
355030837,108865,18123,2085,75591,177,60185,126991112
355030838,135331,15294,11335,61560,217,73200,275544868
355030839,59602,7836,1031,26065,75,27564,66757098
355030840,18185,1156,261,5277,16,7935,24364649
355030841,30769,2600,1822,14577,95,16390,60362521
355030842,95861,15797,864,71654,583,53239,103084323
355030843,115615,25983,1992,151588,243,86894,126241991
355030844,60389,9801,640,64061,99,38247,56211516
355030845,78115,1425,2944,6132,55,39701,413782906
355030846,128172,21139,2049,116221,216,82615,160371748
355030847,63980,12520,838,46593,103,37832,70746406
355030848,56907,1412,1767,5599,54,24085,161275080
355030849,45422,2261,11261,10077,71,27314,143738124
355030850,52722,8024,1085,18306,92,24861,76779924
355030851,79320,6209,2012,19985,54,35416,135837891
355030852,4045,463,92,3533,42,2349,2860165
355030853,64406,1616,1919,7689,94,26456,142645377
355030854,36162,1884,1173,7284,403,15448,189313405
355030855,54672,10164,1162,64046,1002,37141,52966478
355030856,10533,792,709,5203,62,5543,16580185
355030857,39649,4441,738,23315,19,20285,45930793
355030858,67322,12286,1219,63377,80,42056,75491944
355030859,94303,6821,2806,23767,123,41896,131447445
355030860,97727,2372,2905,8047,110,43635,364860974
355030861,40307,6254,594,32872,129,22788,37925522
355030862,55330,1651,2741,5592,43,27083,241508864
355030863,113398,9233,1866,43307,127,53342,161867541
355030864,58657,6773,2123,26261,80,28667,72403088
355030865,51730,8824,1741,37792,77,29865,79171380
355030866,37356,3559,2196,13640,230,26344,86497591
355030867,75004,8075,4709,30282,274,37308,159293693
355030868,162951,13791,5360,65508,241,79473,226126862
355030869,64557,3459,2516,13073,112,35951,185162754
355030870,96669,3720,3890,12451,112,40975,239595347
355030871,61332,1228,2764,6150,52,25374,215851391
355030872,104569,6132,3024,28545,77,45770,125206415
355030873,94431,9833,2503,48276,97,46692,94189295
355030874,50309,6377,1080,34231,82,27868,55385513
355030875,73988,9637,871,59291,199,40589,65049524
355030876,163858,18205,1761,100493,196,84686,154957927
355030877,98717,3296,17706,10920,104,49278,335211406
355030878,12650,1344,1815,7674,26,9098,21442639
355030879,27741,1214,1855,6905,68,12429,70436882
355030880,78556,1819,2925,8320,52,32734,197532311
355030881,116338,13166,2306,65122,240,57372,141812240
355030882,76551,4714,2679,14161,105,32540,125563758
355030883,72067,5681,2277,46909,81,40826,247924927
355030884,71404,11052,1238,65277,82,43486,74991626
355030885,73801,4016,1601,15352,29,30412,119278944
355030886,41392,2046,875,9913,105,17750,65757568
355030887,71277,11268,1245,58420,140,41658,76500888
355030888,32124,968,1550,4720,31,13589,115950354
355030889,73017,5409,1460,33177,328,35242,93037034
355030890,106206,2282,12666,9034,124,51822,483672109
355030891,74835,7084,3381,19569,78,33491,103361253
355030892,83749,8921,1670,35277,205,39905,93969544
355030893,81995,3395,2443,16378,26,34707,123691176
355030894,72661,5013,5389,25258,81,34658,190378208
355030895,56748,4405,891,22747,41,26617,78897397
355030896,71180,14701,706,77673,222,46653,67826241
