cod_distrito,bibliotecas,espacos_culturais,museus,outros,teatro_cinema
355030801,2,0,0,0,0
355030802,2,2,1,0,11
355030803,3,0,0,0,1
355030804,1,0,0,0,1
355030805,1,0,0,0,1
355030806,0,3,2,0,31
355030807,0,13,6,1,83
355030808,0,2,0,0,9
355030809,2,2,7,0,10
355030810,0,1,0,0,0
355030811,1,1,0,0,2
355030812,4,4,20,0,6
355030813,1,3,0,0,4
355030814,0,1,1,0,1
355030815,0,1,0,0,1
355030816,0,1,0,0,23
355030817,4,1,0,0,3
355030818,1,0,1,0,2
355030819,3,1,0,0,4
355030820,1,0,0,0,2
355030821,0,0,2,0,2
355030823,2,1,0,0,4
355030824,2,0,0,0,15
355030825,5,5,0,0,4
355030826,2,17,8,0,81
355030827,1,0,1,0,8
355030828,1,0,0,0,0
355030829,3,2,0,0,3
355030830,3,1,0,0,2
355030831,1,0,0,0,1
355030832,3,9,9,0,24
355030833,2,0,0,0,2
355030834,1,0,7,0,5
355030835,1,17,0,0,69
355030836,2,2,0,0,4
355030837,2,1,0,0,11
355030838,2,2,1,1,3
355030839,1,1,1,0,1
355030840,0,0,0,0,1
355030841,1,0,1,0,4
355030842,2,1,0,0,6
355030843,3,0,1,0,2
355030844,2,0,0,0,1
355030845,0,64,7,0,53
355030846,1,4,0,0,3
355030847,2,1,0,0,0
355030848,3,4,3,0,12
355030849,5,5,3,1,16
355030850,1,0,0,0,1
355030851,1,0,1,0,8
355030853,2,0,1,0,10
355030854,0,5,6,0,4
355030855,2,0,0,0,1
355030856,1,0,2,1,11
355030857,1,0,1,0,2
355030858,1,0,0,0,1
355030859,2,1,0,0,10
355030860,0,4,3,0,26
355030861,2,0,0,0,1
355030862,1,62,7,0,104
355030863,1,0,0,0,7
355030865,2,0,0,0,1
355030866,11,14,5,3,65
355030867,1,0,0,0,1
355030868,3,2,0,0,5
355030869,2,14,1,0,35
355030870,4,1,4,0,17
355030871,2,9,0,0,43
355030872,1,0,0,0,0
355030873,0,1,0,0,1
355030874,3,2,0,0,1
355030875,2,0,0,0,1
355030876,3,1,0,0,3
355030877,0,1,0,0,3
355030878,13,11,11,0,10
355030879,2,0,1,0,7
355030880,5,2,1,0,28
355030881,1,1,0,0,2
355030882,2,0,1,0,8
355030883,1,1,0,0,18
355030884,2,2,0,0,2
355030885,3,1,0,0,13
355030886,1,0,0,0,12
355030887,1,0,0,0,1
355030888,0,0,1,0,3
355030889,1,0,0,0,0
355030890,3,12,6,0,35
355030893,1,0,0,0,11
355030894,0,0,1,0,11
355030895,3,0,0,0,1
355030896,4,0,0,0,2
355030822,0,0,0,0,0
355030852,0,0,0,0,0
355030864,0,0,0,0,0
355030891,0,0,0,0,0
355030892,0,0,0,0,0
